architecture,alpha,train_seed,evaluation_seed,neighbor_mode,success,steps,completion_rate,total_distance,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
shared,0.0,0,100,visible,1,8,1.0,43,0.023255813953488372,4,0.08333333333333333,1.4764892117991655,0.6054366630563974,5.161770488526456,0.44624045064279017,5.52
shared,0.0,0,101,visible,1,5,1.0,30,0.03333333333333333,1,0.03333333333333333,1.7708944360461423,0.5211471205055986,5.073499634603013,0.5773502691896257,5.700000000000001
shared,0.0,0,102,visible,1,8,1.0,42,0.023809523809523808,0,0.0,1.9057762889011802,0.24959951475776232,4.083446000877245,0.4286067004885758,5.520000000000001
shared,0.0,0,103,visible,1,9,1.0,46,0.021739130434782608,0,0.0,1.802817277205944,0.4093958800172499,5.213031651760477,0.33166247903553997,5.460000000000001
shared,0.0,0,104,visible,1,4,1.0,23,0.043478260869565216,0,0.0,1.8337993233858494,0.46479536063762406,5.611303034220922,0.04757591441488914,5.76
shared,0.0,1,100,visible,1,16,1.0,70,0.014285714285714285,10,0.10416666666666667,1.790666463624507,0.5055249197483382,5.704675033886541,0.7754020679375462,5.039999999999999
shared,0.0,1,101,visible,1,5,1.0,30,0.03333333333333333,0,0.0,1.9413453560000673,0.4328456343655153,4.4413810402558465,0.5773502691896257,5.700000000000001
shared,0.0,1,102,visible,1,6,1.0,36,0.027777777777777776,0,0.0,1.9591479170272448,0.20569217631354628,4.237746140315465,0.408248290463863,5.64
shared,0.0,1,103,visible,1,10,1.0,36,0.027777777777777776,0,0.0,1.746701295462643,0.6861262192697033,5.85656048626149,0.7116954521891136,5.4
shared,0.0,1,104,visible,1,6,1.0,34,0.029411764705882353,2,0.05555555555555555,1.8641416356584246,0.32983295438650884,5.616786595814936,0.4580348440537542,5.640000000000001
shared,0.0,2,100,visible,1,12,1.0,50,0.02,0,0.0,1.768088167444183,0.4107839657160854,5.961101698152728,0.8193441966950689,5.279999999999999
shared,0.0,2,101,visible,1,5,1.0,26,0.038461538461538464,0,0.0,1.9344518194827178,0.3860258902790864,5.010124400306411,0.4935812486101875,5.700000000000001
shared,0.0,2,102,visible,1,8,1.0,44,0.022727272727272728,0,0.0,1.9772170014624826,0.30291949630191933,4.243120191523122,0.3605026946038478,5.52
shared,0.0,2,103,visible,0,100,0.5,401,0.0,94,0.15666666666666668,1.5344334500781258,0.03249258891748576,4.881552021353188,0.5754308058230514,-3.000000000000004
shared,0.0,2,104,visible,1,6,1.0,36,0.027777777777777776,5,0.1388888888888889,1.8705708125842206,0.2749859704614352,4.788256804825398,0.408248290463863,5.640000000000001
shared,0.25,0,100,visible,1,11,1.0,50,0.02,0,0.0,1.6327297031052612,0.6437550684292439,5.601800588029412,0.6587921784325104,12.840000000000002
shared,0.25,0,101,visible,1,3,1.0,18,0.05555555555555555,0,0.0,1.5683182557028437,0.5690355937288492,5.317929331845417,0.5,13.32
shared,0.25,0,102,visible,1,4,1.0,24,0.041666666666666664,0,0.0,1.9677648376739312,0.1422588984322123,3.7952904952580604,0.408248290463863,13.26
shared,0.25,0,103,visible,1,9,1.0,47,0.02127659574468085,0,0.0,1.7563866757306996,0.504542252423412,5.179162169830283,0.5240046979168017,12.959999999999999
shared,0.25,0,104,visible,1,11,1.0,50,0.02,10,0.15151515151515152,1.8255730264589722,0.5633661214188267,5.528669160012348,0.38087451783404347,12.839999999999996
shared,0.25,1,100,visible,1,8,1.0,48,0.020833333333333332,6,0.125,1.6619085945586207,0.5200264069456606,5.071391672263726,0.408248290463863,13.019999999999998
shared,0.25,1,101,visible,1,5,1.0,30,0.03333333333333333,0,0.0,1.697339735501244,0.48670420531638464,4.3984796341284325,0.5773502691896257,13.199999999999998
shared,0.25,1,102,visible,0,100,0.8333333333333334,178,0.0,279,0.465,1.1464379325235163,0.9578915511689061,3.9751095644303684,0.7099534128875805,5.249999999999993
shared,0.25,1,103,visible,1,8,1.0,41,0.024390243902439025,0,0.0,1.883606748249535,0.3780695802994185,5.8338803971120665,0.4836683876411435,13.019999999999998
shared,0.25,1,104,visible,1,6,1.0,34,0.029411764705882353,5,0.1388888888888889,1.9591479170272448,0.2831941741873802,5.304245134548143,0.38861344310672696,13.139999999999999
shared,0.25,2,100,visible,1,7,1.0,41,0.024390243902439025,0,0.0,1.8533878668545936,0.3710554313304281,5.207516797649734,0.5744095152318176,13.079999999999998
shared,0.25,2,101,visible,1,5,1.0,29,0.034482758620689655,3,0.1,1.9268875817332631,0.5674524944643181,4.807700724610415,0.6028277709755505,13.199999999999998
shared,0.25,2,102,visible,1,5,1.0,30,0.03333333333333333,0,0.0,1.9838711132181528,0.4105086701750443,4.012932186949484,0.28867513459481287,13.2
shared,0.25,2,103,visible,1,11,1.0,56,0.017857142857142856,0,0.0,1.9459112760387167,0.4757408774341123,5.299299853675351,0.494799615501199,12.84
shared,0.25,2,104,visible,0,100,0.8333333333333334,411,0.0,288,0.48,1.640990439055253,0.9534274401181293,3.729858700952284,0.49535722162508705,5.249999999999993
shared,0.5,0,100,visible,0,100,0.6666666666666666,200,0.0,94,0.15666666666666668,1.1176907445070878,0.9090667204137388,6.2999421934554185,1.180211845390479,7.999999999999955
shared,0.5,0,101,visible,1,14,1.0,54,0.018518518518518517,16,0.19047619047619047,1.20679588795169,0.6281415152713379,4.08701557037711,0.7901510136288027,20.159999999999997
shared,0.5,0,102,visible,1,8,1.0,44,0.022727272727272728,5,0.10416666666666667,1.8545052304455263,0.25714696601127024,4.219000146529909,0.4575557647793302,20.520000000000007
shared,0.5,0,103,visible,1,15,1.0,69,0.014492753623188406,0,0.0,1.2849065049239572,0.41426220004142245,5.300486223235378,0.6585779617987073,20.100000000000005
shared,0.5,0,104,visible,0,100,0.3333333333333333,303,0.0,0,0.0,1.422285592327788,0.3459890938309321,5.803801400576336,0.8212564601160671,1.000000000000015
shared,0.5,1,100,visible,1,7,1.0,39,0.02564102564102564,5,0.11904761904761904,1.8752851177723078,0.4678604817476595,5.665899550433196,0.5717795642918228,20.580000000000002
shared,0.5,1,101,visible,1,5,1.0,29,0.034482758620689655,0,0.0,1.8739091031232595,0.4542408203434185,5.768735037473535,0.5265160870172565,20.7
shared,0.5,1,102,visible,1,11,1.0,58,0.017241379310344827,0,0.0,1.9258635044129986,0.4185281846132252,3.739935690059171,0.4680199396305454,20.34
shared,0.5,1,103,visible,1,10,1.0,57,0.017543859649122806,1,0.016666666666666666,1.8191935325708288,0.3949080867892892,5.217029463959281,0.42054408889376216,20.400000000000006
shared,0.5,1,104,visible,1,6,1.0,36,0.027777777777777776,6,0.16666666666666666,1.9640787648082292,0.3007896423540608,5.035183959823075,0.28867513459481287,20.64
shared,0.5,2,100,visible,1,9,1.0,53,0.018867924528301886,5,0.09259259259259259,1.8943483439266422,0.40303167882262353,5.379437760991725,0.5749752678606364,20.46
shared,0.5,2,101,visible,1,5,1.0,30,0.03333333333333333,2,0.06666666666666667,1.916716186961402,0.4901827142344478,4.491638776844986,0.5773502691896257,20.700000000000003
shared,0.5,2,102,visible,1,8,1.0,48,0.020833333333333332,3,0.0625,1.918636427610489,0.3438320387683427,3.867362222482472,0.408248290463863,20.52
shared,0.5,2,103,visible,1,9,1.0,37,0.02702702702702703,8,0.14814814814814814,1.6928544386944426,0.45298992900095875,5.340640481020037,0.5084718813740341,20.46
shared,0.5,2,104,visible,1,6,1.0,33,0.030303030303030304,6,0.16666666666666666,1.954447201713495,0.37692506160211314,5.016715247050127,0.33207070253303184,20.64
shared,0.75,0,100,visible,0,100,0.5,140,0.0,179,0.29833333333333334,0.8835112419695533,0.9382963835090342,2.713775719410295,0.9855254083880906,8.249999999999952
shared,0.75,0,101,visible,0,100,0.16666666666666666,222,0.0,98,0.16333333333333333,0.7165432010515769,0.04633333333333333,4.103715261550924,0.914542227046259,-1.2500000000000024
shared,0.75,0,102,visible,0,100,0.0,599,0.0,0,0.0,1.0160188351317587,0.015333333333333332,5.491327165707753,0.0037330016318861295,-5.99999999999999
shared,0.75,0,103,visible,0,100,0.5,131,0.0,0,0.0,1.8491951665004247,0.9845723608170875,4.470011462993254,1.0129158977511188,8.249999999999954
shared,0.75,0,104,visible,0,100,0.0,304,0.0,0,0.0,1.3708949823890735,0.3476666666666668,5.495334899839793,0.967284265568045,-5.99999999999999
shared,0.75,1,100,visible,0,100,0.3333333333333333,321,0.0,99,0.165,0.8283695778739524,0.9629128779179019,5.135819568384074,0.9942881587563802,3.5000000000000155
shared,0.75,1,101,visible,0,100,0.0,500,0.0,193,0.32166666666666666,0.9782176659354247,0.21866666666666668,4.861113392806044,0.43120296844989364,-5.99999999999999
shared,0.75,1,102,visible,0,100,0.16666666666666666,600,0.0,0,0.0,0.9999919850127079,0.3233333333333333,5.246467021020676,0.31943828249996986,-1.2499999999999998
shared,0.75,1,103,visible,0,100,0.16666666666666666,406,0.0,0,0.0,0.9248187049730301,0.01,6.710870479262386,0.4315003669411093,-1.2499999999999998
shared,0.75,1,104,visible,0,100,0.16666666666666666,511,0.0,0,0.0,0.9837082626231859,0.226,6.093081957627687,0.5307150006638967,-1.2500000000000042
shared,0.75,2,100,visible,0,100,0.6666666666666666,23,0.0,95,0.15833333333333333,1.0160670069058788,0.045288703832583134,5.671164256734616,0.6969506108152851,13.000000000000028
shared,0.75,2,101,visible,0,100,0.6666666666666666,41,0.0,0,0.0,0.7003193726804589,0.08135744346686223,4.121701982677264,0.8144881849727519,13.000000000000032
shared,0.75,2,102,visible,0,100,0.3333333333333333,29,0.0,285,0.475,0.9467554496831931,0.09931493373357152,2.70841131898399,0.8394813579846138,3.5000000000000155
shared,0.75,2,103,visible,0,100,0.6666666666666666,57,0.0,280,0.4666666666666667,0.8530407494202944,0.1020745259181251,2.711627661831053,0.6157282756389011,13.000000000000032
shared,0.75,2,104,visible,0,100,0.6666666666666666,41,0.0,191,0.31833333333333336,0.7187481636693672,0.06991706678190265,3.6954837011543105,0.5896778972611202,13.000000000000032
shared,1.0,0,100,visible,0,100,0.3333333333333333,309,0.0,0,0.0,1.3674511880329905,0.3916666666666667,2.8668450174585804,0.7710114422443762,5.999999999999982
shared,1.0,0,101,visible,0,100,0.3333333333333333,404,0.0,193,0.32166666666666666,1.478008901395517,0.09840440114519881,4.162623437592831,0.5619726783786076,5.999999999999984
shared,1.0,0,102,visible,0,100,0.0,211,0.0,98,0.16333333333333333,1.452190728862247,0.9866666666666666,4.339662654017915,1.2549938430354617,-5.99999999999999
shared,1.0,0,103,visible,0,100,0.5,43,0.0,91,0.15166666666666667,1.0571052282055293,0.125,4.609211693639493,0.4940461847368738,11.999999999999991
shared,1.0,0,104,visible,0,100,0.0,35,0.0,0,0.0,1.0657388714126357,0.11,4.080104197529705,0.5972727131533391,-5.99999999999999
shared,1.0,1,100,visible,0,100,0.3333333333333333,224,0.0,92,0.15333333333333332,0.6303074079971902,0.9766666666666666,2.848990271727189,1.0082540273637717,5.999999999999982
shared,1.0,1,101,visible,0,100,0.16666666666666666,308,0.0,98,0.16333333333333333,0.8005396924516177,0.3460000000000001,4.271155353314732,1.0786207498606672,6.2727600891321345e-15
shared,1.0,1,102,visible,0,100,0.0,506,0.0,95,0.15833333333333333,0.975617030221205,0.5929999999999999,4.588580464735597,0.39958108952095217,-5.99999999999999
shared,1.0,1,103,visible,0,100,0.16666666666666666,495,0.0,188,0.31333333333333335,0.968967292510196,0.9726666666666666,5.582420387272777,0.5683083372757037,8.93729534823251e-15
shared,1.0,1,104,visible,0,100,0.0,498,0.0,0,0.0,0.9773673405523109,0.9640000000000001,5.811371635718427,0.4472460528498935,-5.99999999999999
shared,1.0,2,100,visible,0,100,0.16666666666666666,230,0.0,0,0.0,0.9804580522668334,0.9422361003345202,6.147191388069141,0.8616724080780207,7.16093850883226e-15
shared,1.0,2,101,visible,0,100,0.0,593,0.0,99,0.165,0.999871756640849,0.06133333333333333,3.683628147923482,0.017926046901744784,-5.99999999999999
shared,1.0,2,102,visible,0,100,0.6666666666666666,432,0.0,89,0.14833333333333334,1.0981680299836785,0.09219868040671393,5.664240194610447,0.6988828720615112,18.000000000000117
shared,1.0,2,103,visible,0,100,0.16666666666666666,498,0.0,0,0.0,1.0251773277620315,0.2178925565098879,4.0720577329115555,0.018919244981579885,8.049116928532385e-15
shared,1.0,2,104,visible,0,100,0.8333333333333334,102,0.0,97,0.16166666666666665,1.01217135545094,0.09682915855895473,6.824830706426499,0.2916910345988737,24.000000000000117
independent,0.0,0,100,visible,0,100,0.8333333333333334,34,0.0,1,0.0016666666666666668,1.9164660930706248,0.08940116483706316,7.7156821933494495,0.9172972050285763,-1.0
independent,0.0,0,101,visible,1,7,1.0,35,0.02857142857142857,0,0.0,1.9737245684063387,0.33928955118398857,5.023614922893416,0.6288987019638052,5.58
independent,0.0,0,102,visible,1,16,1.0,81,0.012345679012345678,2,0.020833333333333332,1.9777081943107178,0.40752674837991715,4.898147794306647,0.6059964013243635,5.040000000000001
independent,0.0,0,103,visible,0,100,0.8333333333333334,313,0.0,1,0.0016666666666666668,1.9598256276990014,0.7156154076021096,6.678537834171094,0.6879288464475313,-1.0
independent,0.0,0,104,visible,0,100,0.8333333333333334,313,0.0,133,0.22166666666666668,1.964511610804844,0.34198585752279653,5.577397708718056,0.677464378704735,-1.0000000000000007
independent,0.0,1,100,visible,1,12,1.0,56,0.017857142857142856,6,0.08333333333333333,1.9760463123729377,0.5107681074321166,6.640166146377845,0.7148330771061172,5.280000000000001
independent,0.0,1,101,visible,1,5,1.0,30,0.03333333333333333,0,0.0,1.9724897668749513,0.3134972782429222,4.537828908538802,0.5,5.700000000000001
independent,0.0,1,102,visible,1,8,1.0,37,0.02702702702702703,0,0.0,1.9237949406953985,0.2928511301977579,5.065070019509076,0.3515659481760926,5.52
