architecture,alpha,train_seed,neighbor_mode,update,mean_success,mean_completion,mean_steps,mean_return,policy_loss,value_loss,entropy
shared,0.0,0,visible,1,0.5,0.875,72.75,0.8850000000000113,-0.013422163927579013,0.08904603810730846,1.6025368324878497
shared,0.0,0,visible,2,0.5,0.9166666666666667,91.25,0.025000000000021422,-0.005016185952735187,0.05308230461154031,1.60237700777225
shared,0.0,0,visible,3,0.75,0.8333333333333334,84.0,-0.03999999999997739,-0.005980029039493954,0.08340914567176977,1.6008574308444188
shared,0.0,0,visible,4,0.75,0.9583333333333334,58.25,2.2550000000000097,-0.007264671254861417,0.13276485209578717,1.5959414765341793
shared,0.0,0,visible,5,1.0,1.0,40.75,3.5550000000000264,-0.008176161686207209,0.1460677403849141,1.593975254169877
shared,0.0,0,visible,6,0.75,0.9583333333333334,72.25,1.4150000000000313,-0.008092763443201395,0.07699372104887263,1.593824037410081
shared,0.0,0,visible,7,1.0,1.0,38.5,3.6900000000000137,-0.010561358201875823,0.11414151795372074,1.5907854818951848
shared,0.0,0,visible,8,1.0,1.0,39.25,3.6450000000000307,-0.010742603332024364,0.10667997097955047,1.5901122393711835
shared,0.0,0,visible,9,0.75,0.9583333333333334,61.75,2.0450000000000332,-0.0060979591384031214,0.07234974517992132,1.5871181101072267
shared,0.0,0,visible,10,0.5,0.875,78.5,0.5400000000000272,-0.00587861612616034,0.06648484151891683,1.5854419889183844
shared,0.0,0,visible,11,1.0,1.0,43.5,3.390000000000034,-0.00992795784297061,0.09000196030761473,1.5796711699495647
shared,0.0,0,visible,12,1.0,1.0,57.25,2.5650000000000177,-0.008638214036459868,0.08974655303462532,1.575056734848471
shared,0.0,0,visible,13,0.75,0.9583333333333334,52.0,2.6300000000000407,-0.011654998045403785,0.06417755895491946,1.5757857607915242
shared,0.0,0,visible,14,1.0,1.0,22.75,4.635000000000022,-0.018102696176404847,0.1523828115909489,1.5359348165022921
shared,0.0,0,visible,15,1.0,1.0,31.0,4.140000000000026,-0.017083700102680323,0.16017515021647866,1.5373955991383539
shared,0.0,0,visible,16,0.75,0.9583333333333334,61.25,2.075000000000029,-0.009427191363875756,0.06018189823172185,1.5402453562999245
shared,0.0,0,visible,17,1.0,1.0,26.25,4.42500000000002,-0.0148322510424757,0.2228955936740081,1.4973578689895466
shared,0.0,0,visible,18,1.0,1.0,27.25,4.3650000000000295,-0.022077295549136726,0.09439117825863913,1.5114046238621315
shared,0.0,0,visible,19,1.0,1.0,20.5,4.770000000000018,-0.024451118094448897,0.1855980571670206,1.4670697884333765
shared,0.0,0,visible,20,1.0,1.0,18.25,4.905000000000015,-0.013562387834666621,0.13120161552211693,1.4676786180966461
shared,0.0,0,visible,21,0.5,0.9166666666666667,65.5,1.5700000000000396,-0.009317777279605598,0.05182055511257842,1.4856095845185164
shared,0.0,0,visible,22,1.0,1.0,14.75,5.1150000000000135,-0.026268620507214662,0.17173889648678448,1.4089769407257666
shared,0.0,0,visible,23,1.0,1.0,22.0,4.680000000000024,-0.020535665247780745,0.1138007026268898,1.4502281903103051
shared,0.0,0,visible,24,1.0,1.0,15.75,5.055000000000014,-0.019736417811123452,0.19608649030825553,1.3977625378386005
shared,0.0,0,visible,25,1.0,1.0,15.0,5.100000000000012,-0.021563805869451516,0.25990956082761113,1.3280575299543125
shared,0.0,0,visible,26,1.0,1.0,13.25,5.205000000000011,-0.03236209800027302,0.2838323713877336,1.2623112533023713
shared,0.0,0,visible,27,1.0,1.0,10.5,5.37000000000001,-0.0265715229890989,0.16170832892681516,1.2623312548248846
shared,0.0,0,visible,28,1.0,1.0,25.75,4.455000000000015,-0.01811089807976981,0.15367206569002878,1.384427251298381
shared,0.0,0,visible,29,1.0,1.0,23.0,4.620000000000024,-0.019288385311085298,0.08722400341273305,1.3416266785575226
shared,0.0,0,visible,30,1.0,1.0,12.75,5.235000000000012,-0.022061831553306765,0.19005760310644895,1.2782882486511453
shared,0.0,1,visible,1,0.5,0.8333333333333333,93.5,-0.6099999999999955,-0.013000046178938325,0.0724000754669484,1.601779326082076
shared,0.0,1,visible,2,0.75,0.9583333333333334,61.25,2.0750000000000215,-0.007005246626773257,0.08782085439794911,1.5971386235497367
shared,0.0,1,visible,3,0.25,0.8750000000000001,87.75,-0.014999999999982222,-0.004921138762752052,0.06376866637132124,1.5945019158788305
shared,0.0,1,visible,4,1.0,1.0,60.5,2.370000000000016,-0.009344678357644421,0.09698096941082432,1.5873306403619873
shared,0.0,1,visible,5,0.5,0.9166666666666667,93.0,-0.0799999999999832,-0.004515642154494388,0.05543787297037194,1.5838634861849366
shared,0.0,1,visible,6,0.75,0.9166666666666666,96.75,-0.3049999999999859,-0.004745896888244321,0.05509618072460063,1.5750764190987594
shared,0.0,1,visible,7,0.75,0.9583333333333334,59.5,2.1800000000000166,-0.008573352616268588,0.0920372777823657,1.56688869134412
shared,0.0,1,visible,8,0.5,0.9166666666666667,79.75,0.7150000000000126,-0.004669135376285306,0.07573731862923187,1.559441702730418
shared,0.0,1,visible,9,0.75,0.9583333333333334,76.0,1.1900000000000355,-0.007148380856223376,0.0676033453819111,1.5524723614770575
shared,0.0,1,visible,10,1.0,1.0,58.75,2.475000000000034,-0.008319136546175365,0.08863865699999718,1.53887780850636
shared,0.0,1,visible,11,1.0,1.0,42.0,3.4800000000000315,-0.012924239360646104,0.14127624701547384,1.523113065727986
shared,0.0,1,visible,12,0.75,0.9583333333333334,63.25,1.955000000000029,-0.01127691447912657,0.09205877645693789,1.5166856056464608
shared,0.0,1,visible,13,1.0,1.0,41.5,3.5100000000000406,-0.010442583433842264,0.07627531403962588,1.5073229787401423
shared,0.0,1,visible,14,1.0,1.0,34.75,3.915000000000026,-0.019836977850155067,0.10773401730268023,1.515325789905239
shared,0.0,1,visible,15,1.0,1.0,21.5,4.710000000000017,-0.02194361496439804,0.15054587606042363,1.5070457227097842
shared,0.0,1,visible,16,1.0,1.0,40.5,3.5700000000000305,-0.011500419951536873,0.1166078526539948,1.514080037770766
shared,0.0,1,visible,17,1.0,1.0,12.0,5.28000000000001,-0.04476043834212058,0.1601019055651937,1.461300854043183
shared,0.0,1,visible,18,1.0,1.0,18.5,4.890000000000015,-0.012473153336230284,0.20387017751007203,1.446247316464698
shared,0.0,1,visible,19,0.75,0.9583333333333334,37.0,3.5300000000000242,-0.01302603543926203,0.08936168594126782,1.469752403466007
shared,0.0,1,visible,20,1.0,1.0,18.25,4.905000000000014,-0.02279660567628662,0.18012834883574305,1.4104867348879628
shared,0.0,1,visible,21,1.0,1.0,17.5,4.950000000000015,-0.019179818043203314,0.2090761456017828,1.3620190996624475
shared,0.0,1,visible,22,1.0,1.0,18.75,4.87500000000002,-0.01524570004467518,0.1303114778029619,1.3870274608937954
shared,0.0,1,visible,23,1.0,1.0,12.25,5.265000000000012,-0.028977087499589126,0.1360880027022752,1.3632317428275058
shared,0.0,1,visible,24,1.0,1.0,23.75,4.575000000000026,-0.017087121896846507,0.11307971638870021,1.3867167458805683
shared,0.0,1,visible,25,1.0,1.0,23.25,4.605000000000023,-0.01606700994217787,0.1464274736604546,1.4070057906158682
shared,0.0,1,visible,26,1.0,1.0,12.25,5.265000000000011,-0.015714417506505374,0.14834111255690882,1.3312580410908346
shared,0.0,1,visible,27,1.0,1.0,11.0,5.340000000000009,-0.023573588335310185,0.21993535010933662,1.2694387392855906
shared,0.0,1,visible,28,1.0,1.0,9.0,5.460000000000008,-0.02855925508394022,0.15838666933819698,1.224918818603174
shared,0.0,1,visible,29,1.0,1.0,16.5,5.010000000000016,-0.020334811383231798,0.18280733711593036,1.2847731431402107
