run_id,timestamp_utc,policy,reward_scheme,alpha,seed,n_agents,n_targets,success,steps,targets_collected,completion_rate,total_distance,distance_per_target,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
6f6da29ea5da,2026-09-15T02:53:12.146908+00:00,random,weak,0.0,0,6,8,0,180,5,0.625,814,162.8,0.0,13,0.012037037037037037,2.316300929304348,0.41694904238667696,8.98752392438807,0.49547285938084573,-0.9666666666666676
f70598a244fa,2026-09-15T02:53:12.177213+00:00,random,weak,0.0,1,6,8,0,180,7,0.875,795,113.57142857142857,0.0,4,0.003703703703703704,2.32121179815023,0.40264569658787774,8.894266382113338,0.6543818408610214,-0.6333333333333343
b1542dae81bb,2026-09-15T02:53:12.208804+00:00,random,weak,0.0,2,6,8,0,180,7,0.875,831,118.71428571428571,0.0,1,0.000925925925925926,2.3179954360381143,0.4279429380074318,8.772867048716826,0.4923909402253008,-0.6333333333333343
78def1434304,2026-09-15T02:53:12.239937+00:00,random,weak,0.0,3,6,8,0,180,7,0.875,799,114.14285714285714,0.0,11,0.010185185185185186,2.3196270760430466,0.431111595229464,8.909210890545385,0.6893716946128071,-0.6333333333333343
68e70ec3acff,2026-09-15T02:53:12.268497+00:00,random,weak,0.0,4,6,8,0,180,5,0.625,795,159.0,0.0,7,0.006481481481481481,2.319711591243515,0.43288549154462275,9.835274182601738,0.38670765881578345,-0.9666666666666677
b644d89d6f5c,2026-09-15T02:53:12.298701+00:00,random,weak,0.0,5,6,8,0,180,6,0.75,839,139.83333333333334,0.0,12,0.011111111111111112,2.3212190480334347,0.43458956907566965,8.146723970396685,0.5225992705919132,-0.8000000000000012
d65ae8ac7b2f,2026-09-15T02:53:12.329143+00:00,random,weak,0.0,6,6,8,0,180,3,0.375,810,270.0,0.0,7,0.006481481481481481,2.32065167271356,0.4292075776027398,8.863824745624237,0.36571698376395034,-1.3000000000000014
a56c9a89b8f9,2026-09-15T02:53:12.359654+00:00,random,weak,0.0,7,6,8,0,180,4,0.5,807,201.75,0.0,11,0.010185185185185186,2.3191738340067047,0.42148713638010854,7.917946769574918,0.48363178573627863,-1.1333333333333346
bdb47f9b4ece,2026-09-15T02:53:12.389172+00:00,random,weak,0.0,8,6,8,0,180,4,0.5,809,202.25,0.0,9,0.008333333333333333,2.321490410417531,0.4407463147425484,7.864209617441562,0.49459926600695675,-1.1333333333333344
d54bc2bd04aa,2026-09-15T02:53:12.410868+00:00,random,weak,0.0,9,6,8,1,128,8,1.0,578,72.25,0.0017301038062283738,13,0.016927083333333332,2.31395085694335,0.4000024616217954,8.509146434628885,0.5962288175665945,0.05333333333333311
09eb73b6a3c6,2026-09-15T02:53:12.441908+00:00,random,weak,0.25,0,6,8,0,180,5,0.625,814,162.8,0.0,13,0.012037037037037037,2.316300929304348,0.41694904238667696,8.98752392438807,0.49547285938084573,0.07499999999999848
64106af73954,2026-09-15T02:53:12.471046+00:00,random,weak,0.25,1,6,8,0,180,7,0.875,795,113.57142857142857,0.0,4,0.003703703703703704,2.32121179815023,0.40264569658787774,8.894266382113338,0.6543818408610214,0.8249999999999984
1ef84a87365a,2026-09-15T02:53:12.502104+00:00,random,weak,0.25,2,6,8,0,180,7,0.875,831,118.71428571428571,0.0,1,0.000925925925925926,2.3179954360381143,0.4279429380074318,8.772867048716826,0.4923909402253008,0.8249999999999984
559372040edf,2026-09-15T02:53:12.533327+00:00,random,weak,0.25,3,6,8,0,180,7,0.875,799,114.14285714285714,0.0,11,0.010185185185185186,2.3196270760430466,0.431111595229464,8.909210890545385,0.6893716946128071,0.8249999999999984
8bb4c381c706,2026-09-15T02:53:12.564564+00:00,random,weak,0.25,4,6,8,0,180,5,0.625,795,159.0,0.0,7,0.006481481481481481,2.319711591243515,0.43288549154462275,9.835274182601738,0.38670765881578345,0.07499999999999848
4f9da190950f,2026-09-15T02:53:12.592911+00:00,random,weak,0.25,5,6,8,0,180,6,0.75,839,139.83333333333334,0.0,12,0.011111111111111112,2.3212190480334347,0.43458956907566965,8.146723970396685,0.5225992705919132,0.44999999999999885
531e00fc8447,2026-09-15T02:53:12.623479+00:00,random,weak,0.25,6,6,8,0,180,3,0.375,810,270.0,0.0,7,0.006481481481481481,2.32065167271356,0.4292075776027398,8.863824745624237,0.36571698376395034,-0.6750000000000009
