policy,reward_scheme,alpha,episodes,success_mean,steps_mean,completion_rate_mean,total_distance_mean,distance_per_target_mean,coordination_efficiency_mean,collision_rate_mean,action_entropy_mean,spatial_order_mean,mean_interagent_distance_mean,role_differentiation_mean,team_return_mean,success_std,steps_std,completion_rate_std,total_distance_std,distance_per_target_std,coordination_efficiency_std,collision_rate_std,action_entropy_std,spatial_order_std,mean_interagent_distance_std,role_differentiation_std,team_return_std
distributed-greedy,weak,0.0,10,1.0,34.9,1.0,87.4,10.925,0.012726849731012329,0.06373691164853044,1.687486670956703,0.7492512119577128,6.444315490055881,0.6726102046863591,0.9843333333333331,0.0,11.985639555549614,0.0,29.311355402907516,3.6639194253634395,0.004769952538550042,0.06253546115766775,0.16454634775139643,0.11453570366125461,1.1325296374998954,0.20509726625925603,0.1198563955554963
distributed-greedy,weak,0.25,10,1.0,34.9,1.0,87.4,10.925,0.012726849731012329,0.06373691164853044,1.687486670956703,0.7492512119577128,6.444315490055881,0.6726102046863591,2.651000000000004,0.0,11.985639555549614,0.0,29.311355402907516,3.6639194253634395,0.004769952538550042,0.06253546115766775,0.16454634775139643,0.11453570366125461,1.1325296374998954,0.20509726625925603,0.1198563955554944
distributed-greedy,weak,0.5,10,1.0,34.9,1.0,87.4,10.925,0.012726849731012329,0.06373691164853044,1.687486670956703,0.7492512119577128,6.444315490055881,0.6726102046863591,4.317666666666672,0.0,11.985639555549614,0.0,29.311355402907516,3.6639194253634395,0.004769952538550042,0.06253546115766775,0.16454634775139643,0.11453570366125461,1.1325296374998954,0.20509726625925603,0.11985639555549395
distributed-greedy,weak,0.75,10,1.0,34.9,1.0,87.4,10.925,0.012726849731012329,0.06373691164853044,1.687486670956703,0.7492512119577128,6.444315490055881,0.6726102046863591,5.984333333333338,0.0,11.985639555549614,0.0,29.311355402907516,3.6639194253634395,0.004769952538550042,0.06253546115766775,0.16454634775139643,0.11453570366125461,1.1325296374998954,0.20509726625925603,0.11985639555549393
distributed-greedy,weak,1.0,10,1.0,34.9,1.0,87.4,10.925,0.012726849731012329,0.06373691164853044,1.687486670956703,0.7492512119577128,6.444315490055881,0.6726102046863591,7.651000000000006,0.0,11.985639555549614,0.0,29.311355402907516,3.6639194253634395,0.004769952538550042,0.06253546115766775,0.16454634775139643,0.11453570366125461,1.1325296374998954,0.20509726625925603,0.11985639555549363
flocking,weak,0.0,10,1.0,16.5,1.0,90.9,11.3625,0.01217676605690406,0.11090927132722798,1.7310866810151109,0.4631131376637401,7.869031857088776,0.5258421570905748,1.1683333333333334,0.0,5.522680508593631,0.0,27.8505934506889,3.4813241813361127,0.004439359752043037,0.12654267258830582,0.20331126333199598,0.11059124368276306,1.0111760481696996,0.196654670877394,0.055226805085936345
flocking,weak,0.25,10,1.0,16.5,1.0,90.9,11.3625,0.01217676605690406,0.11090927132722798,1.7310866810151109,0.4631131376637401,7.869031857088776,0.5258421570905748,2.8350000000000017,0.0,5.522680508593631,0.0,27.8505934506889,3.4813241813361127,0.004439359752043037,0.12654267258830582,0.20331126333199598,0.11059124368276306,1.0111760481696996,0.196654670877394,0.05522680508593573
flocking,weak,0.5,10,1.0,16.5,1.0,90.9,11.3625,0.01217676605690406,0.11090927132722798,1.7310866810151109,0.4631131376637401,7.869031857088776,0.5258421570905748,4.50166666666667,0.0,5.522680508593631,0.0,27.8505934506889,3.4813241813361127,0.004439359752043037,0.12654267258830582,0.20331126333199598,0.11059124368276306,1.0111760481696996,0.196654670877394,0.05522680508593546
flocking,weak,0.75,10,1.0,16.5,1.0,90.9,11.3625,0.01217676605690406,0.11090927132722798,1.7310866810151109,0.4631131376637401,7.869031857088776,0.5258421570905748,6.168333333333335,0.0,5.522680508593631,0.0,27.8505934506889,3.4813241813361127,0.004439359752043037,0.12654267258830582,0.20331126333199598,0.11059124368276306,1.0111760481696996,0.196654670877394,0.05522680508593582
flocking,weak,1.0,10,1.0,16.5,1.0,90.9,11.3625,0.01217676605690406,0.11090927132722798,1.7310866810151109,0.4631131376637401,7.869031857088776,0.5258421570905748,7.835000000000003,0.0,5.522680508593631,0.0,27.8505934506889,3.4813241813361127,0.004439359752043037,0.12654267258830582,0.20331126333199598,0.11059124368276306,1.0111760481696996,0.196654670877394,0.05522680508593519
